example_id                                                            | status  | run_time        |
./spec/models/client_profile_spec.rb[1:9:1:1]                         | passed  | 0.00255 seconds |
./spec/models/client_profile_spec.rb[1:9:2:1]                         | passed  | 0.0023 seconds  |
./spec/models/current_spec.rb[1:1:1]                                  | passed  | 0.00529 seconds |
./spec/models/current_spec.rb[1:1:2]                                  | passed  | 0.00211 seconds |
./spec/models/current_spec.rb[1:1:3]                                  | passed  | 0.00221 seconds |
./spec/models/current_spec.rb[1:2:1]                                  | passed  | 0.02343 seconds |
./spec/models/current_spec.rb[1:2:2]                                  | passed  | 0.00255 seconds |
./spec/models/current_spec.rb[1:2:3]                                  | passed  | 0.00302 seconds |
./spec/models/current_spec.rb[1:3:1]                                  | passed  | 0.13288 seconds |
./spec/models/current_spec.rb[1:4:1]                                  | passed  | 0.01776 seconds |
./spec/models/current_spec.rb[1:5:1]                                  | passed  | 0.00353 seconds |
./spec/models/current_spec.rb[1:6:1]                                  | passed  | 0.02012 seconds |
./spec/models/current_spec.rb[1:6:2]                                  | passed  | 0.03148 seconds |
./spec/models/current_spec.rb[1:6:3]                                  | passed  | 0.02423 seconds |
./spec/models/session_spec.rb[1:1:1]                                  | passed  | 0.00743 seconds |
./spec/models/session_spec.rb[1:2:1]                                  | passed  | 0.00768 seconds |
./spec/models/session_spec.rb[1:2:2]                                  | passed  | 0.00723 seconds |
./spec/models/session_spec.rb[1:3:1:1]                                | passed  | 0.02153 seconds |
./spec/models/session_spec.rb[1:3:1:2]                                | passed  | 0.0231 seconds  |
./spec/models/session_spec.rb[1:3:1:3]                                | passed  | 0.02769 seconds |
./spec/models/session_spec.rb[1:3:1:4]                                | passed  | 0.01841 seconds |
./spec/models/session_spec.rb[1:3:1:5:1]                              | passed  | 0.02151 seconds |
./spec/models/session_spec.rb[1:4:1]                                  | passed  | 0.03651 seconds |
./spec/models/session_spec.rb[1:4:2]                                  | passed  | 0.03466 seconds |
./spec/models/session_spec.rb[1:5:1]                                  | passed  | 0.00802 seconds |
./spec/models/session_spec.rb[1:5:2]                                  | passed  | 0.01773 seconds |
